query,expected_answer,generated_answer,Relevance,Accuracy,Source_Citation,Fluency,Query_Length,Retrieval_Time_MS,Generation_Time_MS,Total_Time_MS,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore-P,BERTScore-R,BERTScore-F1,Perplexity
"A decade after delivery, which hypertension phenotypes were associated with hypertensive disorders in pregnancy (HDP)?","Hypertensive disorders in pregnancy were associated with sustained hypertension (odds ratio [OR] 5.54) and white coat hypertension (OR 4.20), but not masked hypertension.","The study found that nearly 40% of women who experienced hypertension-related factors during pregnancy did not receive treatment, partly explaining the associated poor cardiovascular outcomes [Source: hpad090.pdf]. However, the specific hypertension phenotypes associated with hypertensive disorders in pregnancy (HDP) a decade after delivery are not explicitly mentioned in the provided knowledge base.",4,2,Yes,5,118,13.016199984122068,3293.752700003097,3314.691500010668,1.3984085347726695e-78,0.2278481012658228,0.1038961038961038,0.1518987341772152,0.281285534741756,0.732335090637207,0.7650789022445679,0.7483490109443665,44.30913543701172
"According to the 2017–2018 Bangladesh Demographic and Health Survey, what was the prevalence of hypertension based on the JNC 7 guideline?",The prevalence of hypertension was 24.0% according to the JNC 7 guideline.,I do not have sufficient information to answer that question.,4,1,No,5,138,10.78609999967739,1132.0330000016838,1150.3739000181668,9.056777564992553e-232,0.0869565217391304,0.0,0.0869565217391304,0.072992700729927,0.7527120113372803,0.7187797427177429,0.7353546619415283,11.640771865844728
"According to the JNC7 guideline, what was the prevalence of hypertension in the 2014 Ghana survey?","According to the JNC7 guideline, 11.48% (n = 1395) of respondents had hypertension.",I do not have sufficient information to answer that question.,4,1,No,5,98,10.308199998689815,1117.8555999940727,1135.129300004337,6.295763935163753e-232,0.0869565217391304,0.0,0.0869565217391304,0.0867052023121387,0.7479124069213867,0.6803682446479797,0.7125433087348938,11.640771865844728
Define isolated systolic hypertension (ISH).,Isolated systolic hypertension (ISH) is defined as having a systolic blood pressure (SBP) of ≥ 140 mmHg but a diastolic blood pressure (DBP) of < 90 mmHg.,I do not have sufficient information to answer that question.,4,1,No,5,44,10.209500003838912,1144.3184000090696,1161.6297000146003,1.2362032240989255e-232,0.0571428571428571,0.0,0.0571428571428571,0.0315457413249211,0.7321349382400513,0.5737083554267883,0.6433113813400269,11.640771865844728
Did the Hindi Mini-mental Status Examination (HMSE) and Hindi Montreal Cognitive Assessment (MoCA) scores differ significantly between hypertensive and normotensive groups?,"No, the HMSE, Hindi MoCA, and choice reaction time (CRT) scores did not differ significantly between the hypertensive and normotensive groups.",The Hindi Mini-mental Status Examination (HMSE) and Hindi Montreal Cognitive Assessment (MoCA) scores were dependent on the education status of the patient [Source: cureus-0014-00000028397.pdf].,5,2,Yes,5,172,11.67360000545159,2513.4439999819733,2532.794099999592,4.726550448515237e-155,0.2857142857142857,0.0,0.2448979591836734,0.231090909090909,0.68639075756073,0.7715441584587097,0.7264807224273682,46.85641098022461
Did the study find that ACE inhibitors or ARBs should be discontinued in hypertensive patients at risk of COVID-19?,The study findings do not support a change to the current use of angiotensin-converting enzyme inhibitors and angiotensin receptor blockers among patients with hypertension being managed in the outpatient setting and at risk of infection with SARS-CoV-2.,I do not have sufficient information to answer that question.,4,1,No,5,115,12.70350001868792,1132.187299983343,1153.9883999794256,5.595559211611936e-156,0.12,0.0416666666666666,0.12,0.0894121813031161,0.7327731847763062,0.6330232620239258,0.6792556643486023,11.640771865844728
Do normotensive subjects show a BP-lowering effect with oral magnesium therapy?,"No, normotensive subjects do not show a blood pressure-lowering effect with oral magnesium therapy.",I do not have sufficient information to answer that question.,4,1,No,5,79,10.340800014091656,1139.8980999947526,1157.3730999953111,3.84766962996318e-155,0.16,0.0869565217391304,0.16,0.1648745519713261,0.7810201644897461,0.7397176623344421,0.7598080039024353,11.640771865844728
How did ACE inhibitor treatment affect vasodilatation in the MSAs of Dahl-SS rats?,ACE inhibitor treatment improved the vasodilatation of mesenteric small arteries more obviously.,ACE inhibitor treatment improved vasodilatation in the mesenteric small arteries (MSAs) of Dahl-SS rats [Source: ijmsv20p0572.pdf].,5,5,Yes,5,82,12.54030002746731,2248.813300015172,2269.229900004575,0.1750913103904596,0.6666666666666667,0.3571428571428571,0.5333333333333333,0.7271538141387717,0.7400209903717041,0.9286488890647888,0.8236736059188843,50.00823974609375
How did ACE inhibitors and ARBs compare in their effect on the glucose infusion rate (GIR) in hypertensive patients?,"The efficacy of ACE inhibitors on improving the glucose infusion rate (GIR) was significantly better than that of ARBs (WMD = -1.09, 95% CI: -1.34 to -0.85, P < 0.001).",I do not have sufficient information to answer that question.,4,1,No,5,116,10.507200000574812,1239.391400013119,1257.9934999812394,1.0326748563724872e-232,0.0952380952380952,0.0,0.0476190476190476,0.0552486187845303,0.6969990730285645,0.5749953389167786,0.6301462650299072,11.640771865844728
How did LV and RV mass compare between African ancestry (Afr-a) and European ancestry (Eu-a) hypertensives in the CMR study?,"Left ventricular (LV) and right ventricular (RV) mass, indexed to body-surface-area, were significantly greater in African ancestry hypertensives than in European ancestry hypertensives (67.1 ± 21.7 vs. 58.3 ± 16.7 g/m2 and 12.6 ± 3.48 vs. 10.7 ± 2.71 g/m2, respectively).",RV mass and M/V were significantly greater in the African ancestry (Afr-a) hypertensives compared to European ancestry (Eu-a) hypertensives (Table 2; Figure 2) [Source: jeae097.pdf].,3,2,Yes,5,124,10.865699994610624,2530.9249999991152,2549.0021999867167,0.076173384178908,0.3846153846153846,0.1578947368421052,0.3333333333333333,0.3304244256625209,0.7639486193656921,0.6726714372634888,0.7154103517532349,60.30510711669922
