Query,Query_Length,Retrieval_Time_MS,Generation_Time_MS,Total_Time_MS
"A decade after delivery, which hypertension phenotypes were associated with hypertensive disorders in pregnancy (HDP)?",118,13.016199984122068,3293.752700003097,3314.691500010668
"According to the 2017–2018 Bangladesh Demographic and Health Survey, what was the prevalence of hypertension based on the JNC 7 guideline?",138,10.78609999967739,1132.0330000016838,1150.3739000181668
"According to the JNC7 guideline, what was the prevalence of hypertension in the 2014 Ghana survey?",98,10.308199998689815,1117.8555999940727,1135.129300004337
Define isolated systolic hypertension (ISH).,44,10.209500003838912,1144.3184000090696,1161.6297000146003
Did the Hindi Mini-mental Status Examination (HMSE) and Hindi Montreal Cognitive Assessment (MoCA) scores differ significantly between hypertensive and normotensive groups?,172,11.67360000545159,2513.4439999819733,2532.794099999592
Did the study find that ACE inhibitors or ARBs should be discontinued in hypertensive patients at risk of COVID-19?,115,12.70350001868792,1132.187299983343,1153.9883999794256
Do normotensive subjects show a BP-lowering effect with oral magnesium therapy?,79,10.340800014091656,1139.8980999947526,1157.3730999953111
How did ACE inhibitor treatment affect vasodilatation in the MSAs of Dahl-SS rats?,82,12.54030002746731,2248.813300015172,2269.229900004575
How did ACE inhibitors and ARBs compare in their effect on the glucose infusion rate (GIR) in hypertensive patients?,116,10.507200000574812,1239.391400013119,1257.9934999812394
How did LV and RV mass compare between African ancestry (Afr-a) and European ancestry (Eu-a) hypertensives in the CMR study?,124,10.865699994610624,2530.9249999991152,2549.0021999867167
How did atorvastatin calcium and AG490 affect the expression levels of p-JAK2/JAK2 and p-STAT3/STAT3 in modeled rats?,117,13.60119998571463,2808.828699984588,2831.5025999909267
How did the combination of barnidipine plus losartan affect left ventricular mass index compared to lercanidipine plus losartan in hypertensive patients with diabetes?,167,11.872700008098036,3019.408500025748,3040.0008000142407
How did the frequency of LVDD differ between men and women in the study?,72,10.903900023549795,2084.1430999862496,2102.347700012615
How did the observed CVD event rates compare between 'reclassified hypertensive' and 'pre-2017 hypertensive' groups in the ASPREE study?,136,11.26309999381192,2708.3624000079,2728.2723000098485
How did the prevalence of falls/syncope events compare between the thiazide group and the non-thiazide group in the retrospective study?,136,10.54770001792349,3224.4959000090603,3243.3038000017405
"How do NETs promote vascular smooth muscle cell (VSMC) proliferation, contributing to hypertension?",99,10.098300001118332,1132.7200999949127,1150.2396000141744
How do male and female spontaneously hypertensive rats differ in terms of their renin-angiotensin system (RAS) components?,122,9.917099989252163,1326.325000001816,1344.4626999844331
How was neighborhood deprivation measured in the study on pregnancy-related hypertension?,89,10.803399985888973,1973.2683000038376,1991.894699982368
How were depressive symptoms assessed in the study on masked hypertension?,74,10.421500017400833,1012.236499984283,1029.5108999998774
How would the distribution of new diagnoses from opportunistic screening be spread across socioeconomic groups in Sri Lanka?,124,11.105199984740466,2301.8377000116743,2320.389600005001
"In Ang-II-stimulated human umbilical vein endothelial cells (HUVECs), how was miR-133a expression affected and what was the consequence?",136,10.452100017573684,1319.4415000034496,1337.7812999824528
"In Dahl salt-sensitive rats, what was the effect of switching from a high-salt to a low-salt diet on the vasoconstriction of mesenteric small arteries (MSAs) to norepinephrine?",176,11.798899999121204,3004.472200002056,3024.3374000128824
"In patients with masked hypertension diagnosed by home blood pressure monitoring, how did indexed LV mass and relative wall thickness compare to normotensives?",159,10.32810000469908,5053.989100008039,5072.411500004819
"In spontaneously hypertensive rats (SHR), what is the effect of testosterone on the development of hypertension?",112,10.902000009082258,1171.389099996304,1190.236399997957
"In the 2014 Ghana Demographic and Health Survey, what was the prevalence of hypertension according to the 2017 ACC/AHA guideline?",129,10.44689997797832,1177.9998999845702,1195.9704000037163
"In the ASPREE study, what percentage of participants were 'reclassified hypertensive' by the AHA/ACC-2017 guideline?",116,11.078599985921755,1204.267199995229,1223.355400026776
"In the BASIC-HT study, what was the main reason for patients switching from other CCBs like amlodipine or lercanidipine to barnidipine-based therapy?",149,11.66899999952875,1334.246299986262,1354.022999992594
"In the Health and Retirement Study, how did a diagnosis of hypertension affect a person's subjective life expectancy?",117,16.18380000581965,1830.0149999849964,1854.1880000266249
"In the TMM CommCohort Study, what was the multivariate odds ratio for masked hypertension in male participants with depressive symptoms?",136,10.27940001222305,976.240999996662,993.2193999993616
"In the UK Biobank study, how did participants with ISH taking BP medications compare to normotensives in terms of white matter hyperintensity (WMH) volume?",155,10.308299999451265,1101.2647000025029,1118.9127000106964
"In the case-control study, how did the 24-hour blood pressure of patients with ARAs compare to those without?",109,10.526199999731034,1204.4073000142816,1222.7198000182398
"In the clinical trial on HMG-CoA reductase inhibitors, what two drugs were given to the observation group?",106,12.544199998956174,2965.4760000121314,2986.2803999858443
"In the comparative P300 study, how did the P300 latencies of hypertensives and normotensives differ?",100,10.349999996833503,4217.371000006096,4235.8687999949325
"In the modelling study for Sri Lanka, what was the estimated cost per person newly diagnosed with a chronic condition in the public sector for the one-year program?",164,10.28660000883974,1192.9365000105463,1210.8133000147063
"In the outpatient study of hypertensive patients with COVID-19, were ACE inhibitors or ARBs associated with the risk of hospitalization?",136,10.050899989437312,4331.259200000204,4349.335799983237
